x/c,z/c,Cp
0.0007384010068409796,-0.004135013551493918,102.73039823431647
0.0007384010068409796,0.004135013551493918,100.03189657592355
0.0029552452969733704,-0.009418951617720548,104.31359540994443
0.0029552452969733704,0.009418951617720548,99.16820018674527
0.004829370286080921,-0.011980089983232748,104.7851637289681
0.004829370286080921,0.011980089983232748,99.18195088600633
0.006893781531302562,-0.014241058695363868,105.06748140930348
0.006893781531302562,0.014241058695363868,99.33695056348483
0.008987119085763655,-0.016175937096467606,105.2178334571095
0.008987119085763655,0.016175937096467606,99.52688804133705
0.011091910815363358,-0.01788795623179252,105.30670119596013
0.011091910815363358,0.01788795623179252,99.72108155299122
0.013097419835398787,-0.019352952390128065,105.35009481512394
0.013097419835398787,0.019352952390128065,99.8973660775313
0.0152297855560648,-0.02077701680368221,105.3718016455279
0.0152297855560648,0.02077701680368221,100.07623651427903
0.017225698189569483,-0.02201092500908996,105.37808438610897
0.017225698189569483,0.02201092500908996,100.2367216628934
0.01891965766598278,-0.02299322737694101,105.37609506796485
0.01891965766598278,0.02299322737694101,100.348084807934
0.0210926279158057,-0.024179069844912065,105.36656122245259
0.0210926279158057,0.024179069844912065,100.4904684815199
0.022987461648881435,-0.025158817879855633,105.35450750309064
0.022987461648881435,0.025158817879855633,100.59547738024688
0.02496611021030106,-0.02612571811400837,105.33882186277738
0.02496611021030106,0.02612571811400837,100.67977433945862
0.026992930099368095,-0.027073926292359825,105.32107782939819
0.026992930099368095,0.027073926292359825,100.7398375968443
0.028785793642352623,-0.0278731081537661,105.30338539935636
0.028785793642352623,0.0278731081537661,100.7694537642562
0.03086369660829408,-0.028762803904574447,105.28474769032493
0.03086369660829408,0.028762803904574447,100.78386135781528
0.03274715319275856,-0.029538274742662907,105.26542950424457
0.03274715319275856,0.029538274742662907,100.7917028121739
0.034692878110345805,-0.03030729959896441,105.24528247641605
0.034692878110345805,0.03030729959896441,100.80464662516164
0.03694447561109403,-0.031164409710730208,105.22472054908974
0.03694447561109403,0.031164409710730208,100.82403144850171
0.03898260369896889,-0.03191220201551914,105.2040373607344
0.03898260369896889,0.03191220201551914,100.84766843040956
0.040618302300572395,-0.03249272517859936,105.18834355675466
0.040618302300572395,0.03249272517859936,100.86878875966377
0.04276122417039962,-0.03322873374944968,105.16721047594761
0.04276122417039962,0.03322873374944968,100.90873017427924
0.044850980678038124,-0.03392405584774157,105.14876129203655
0.044850980678038124,0.03392405584774157,100.988251108232
0.046991657224058035,-0.034612410328777626,105.1303424778799
0.046991657224058035,0.034612410328777626,101.12393012235398
0.049272313714027405,-0.03532339073717594,105.10931317217243
0.049272313714027405,0.03532339073717594,101.2883152998499
0.051100585609674454,-0.03587573394179344,105.09372513255336
0.051100585609674454,0.03587573394179344,101.38700971979709
0.05296221002936363,-0.036423636600375175,105.07829167161528
0.05296221002936363,0.036423636600375175,101.46280208779875
0.05485759489238263,-0.03696712106466293,105.06293143215767
0.05485759489238263,0.03696712106466293,101.52286810894047
0.05678713694214821,-0.03750626556575298,105.0476118713003
0.05678713694214821,0.03750626556575298,101.57396856658522
0.058751270174980164,-0.03804108873009681,105.03232485332316
0.058751270174980164,0.03804108873009681,101.61917062719247
0.06075043603777886,-0.038571609184145934,105.01732258554782
0.06075043603777886,0.038571609184145934,101.65997126325176
0.06278508342802526,-0.03909785486757755,105.00266201801466
0.06278508342802526,0.03909785486757755,101.69772914001172
0.0648556798696518,-0.039619822055101395,104.9878631432406
0.0648556798696518,0.039619822055101395,101.7334612224788
0.06696270406246185,-0.04013749025762082,104.97329206862801
0.06696270406246185,0.04013749025762082,101.7680624398587
0.06910663470625877,-0.04065093398094177,104.95886743697633
0.06910663470625877,0.04065093398094177,101.80197212103418
0.07128798216581346,-0.0411601010710001,104.94443466960463
0.07128798216581346,0.0411601010710001,101.83473466568239
0.07350726053118704,-0.0416649468243122,104.93041682395554
0.07350726053118704,0.0416649468243122,101.86679753840615
0.07538547615210216,-0.042082431415716805,104.91644779262676
0.07538547615210216,0.042082431415716805,101.89822582496588
0.07691618568885943,-0.042415287262505076,104.90941989482603
0.07691618568885943,0.042415287262505076,101.91353220914918
0.07844777901967366,-0.04274405290683111,104.90250316845814
0.07844777901967366,0.04274405290683111,101.9285964679189
0.08039799332618713,-0.043153516948223114,104.88885956593144
0.08039799332618713,0.043153516948223114,101.9583081175477
0.08277437835931778,-0.04364086873829365,104.8755088493266
0.08277437835931778,0.04364086873829365,101.98816621013745
0.08519143983721733,-0.04412377066910267,104.86226389708241
0.08519143983721733,0.04412377066910267,102.01739785228322
0.08723657826582591,-0.044522798309723534,104.84927928787991
0.08723657826582591,0.044522798309723534,102.04587287246419
0.08890298721908989,-0.044840681660629704,104.84281312808722
0.08890298721908989,0.044840681660629704,102.06004348010123
0.09057016173998515,-0.04515452558795611,104.83644925735837
0.09057016173998515,0.04515452558795611,102.07398992096287
0.09269260987639427,-0.045545078814029694,104.82374939835766
0.09269260987639427,0.045545078814029694,102.10135034749675
0.09527835994958878,-0.04600950703024864,104.81125293235824
0.09527835994958878,0.04600950703024864,102.1283934809486
0.09746592243512471,-0.0463929275671641,104.79885409499946
0.09746592243512471,0.0463929275671641,102.15469626387576
0.09834975997606914,-0.04654530187447866,104.79885409499946
0.09834975997606914,0.04654530187447866,102.15469626387576
0.10058169439435005,-0.046923818066716194,104.78674000784247
0.10058169439435005,0.046923818066716194,102.18082819668183
0.10330057144165039,-0.04737360216677189,104.77473168504615
0.10330057144165039,0.04737360216677189,102.20632554332386
0.10560054828723271,-0.04774462183316549,104.76282912661051
0.10560054828723271,0.04774462183316549,102.23139169680316
0.10652974496285121,-0.04789199928442637,104.76282912661051
0.10652974496285121,0.04789199928442637,102.23139169680316
0.1088760942220688,-0.0482578817754984,104.75115436833632
0.1088760942220688,0.0482578817754984,102.2564171716822
0.11125383526086807,-0.04862020288904508,104.73962605302306
0.11125383526086807,0.04862020288904508,102.2805395816355
0.11221442371606828,-0.04876401896278063,104.73962605302306
0.11221442371606828,0.04876401896278063,102.2805395816355
0.11463994905352592,-0.04912091232836247,104.72827672355093
0.11463994905352592,0.04912091232836247,102.30445046286745
0.1170977974931399,-0.04947419837117195,104.71699247983922
0.1170977974931399,0.04947419837117195,102.32819049397831
0.11809070905049641,-0.04961440712213516,104.71699247983922
0.11809070905049641,0.04961440712213516,102.32819049397831
0.12059778347611426,-0.049962127581238754,104.70596857916917
0.12059778347611426,0.049962127581238754,102.3514911962064
0.12313817938168843,-0.0503059799472491,104.69515620722045
0.12313817938168843,0.0503059799472491,102.37429561951132
0.12416441241900125,-0.05044232060511907,104.69515620722045
0.12416441241900125,0.05044232060511907,102.37429561951132
0.12675554305315018,-0.050780255347490304,104.68457163543319
0.12675554305315018,0.050780255347490304,102.39686410693474
0.129381000995636,-0.051114206512769066,104.67426367812769
0.129381000995636,0.051114206512769066,102.41943259435817
0.1304415613412857,-0.05124656359354655,104.67426367812769
0.1304415613412857,0.05124656359354655,102.41943259435817
0.13311930000782013,-0.051574384793639176,104.6639150422219
0.13311930000782013,0.051574384793639176,102.44159429577901
0.1363804042339325,-0.05196206457912921,104.65339555619505
0.1363804042339325,0.05196206457912921,102.46321903967643
0.13913838068644205,-0.052280252178510025,104.64336421337131
0.13913838068644205,0.052280252178510025,102.48490886933425
0.14025243123372397,-0.05240622411171594,104.64336421337131
0.14025243123372397,0.05240622411171594,102.48490886933425
0.14306511729955673,-0.05271779932081699,104.63349558494859
0.14306511729955673,0.05271779932081699,102.50631394879031
0.14649037271738052,-0.053085621446371085,104.62370017800635
0.14649037271738052,0.053085621446371085,102.52747495664478
0.14938701689243317,-0.05338695645332337,104.61406748546513
0.14938701689243317,0.05338695645332337,102.54834307857739
0.1505570411682129,-0.053506072610616684,104.61406748546513
0.1505570411682129,0.053506072610616684,102.54834307857739
0.1529163271188736,-0.05374185120066007,104.60458123588484
0.1529163271188736,0.05374185120066007,102.56896712890845
0.15410558879375458,-0.053858513633410134,104.60458123588484
0.15410558879375458,0.053858513633410134,102.56896712890845
