x/c,y/c,z/c,tau_w_Pa,tau_x_Pa,tau_y_Pa,tau_z_Pa,Cf,surface_area_m2
8.231375735097876e-06,-0.033333333830038704,0.0002936695042687158,6.385087738206178,-0.17889982324793696,1.30658843778388e-19,-6.382581004408228,0.00542796134855629,8.813545385968984e-05
8.231375735097876e-06,0.033333333830038704,-0.0002936695042687158,6.1861079116189295,0.17332473058423548,-1.3153207557128165e-19,-6.183679295691378,0.005258808652126554,8.813545385968984e-05
1.646275147019575e-05,-0.033333333830038704,-0.0005873390085374316,6.1861079116189295,0.17332473058423548,-1.3153207557128165e-19,-6.183679295691378,0.005258808652126554,8.813545385968984e-05
1.646275147019575e-05,0.033333333830038704,0.0005873390085374316,6.385087738206178,-0.17889982324793696,1.30658843778388e-19,-6.382581004408228,0.00542796134855629,8.813545385968984e-05
4.9819153597733625e-05,-0.033333333830038704,0.0011784559270987909,6.546924272130373,-0.5510484769998872,1.337871822092506e-19,-6.52369243611361,0.00556553854200166,8.955200192544868e-05
4.9819153597733625e-05,0.033333333830038704,-0.0011784559270987909,5.9635395993322495,0.5019455361244345,-1.3572948112817724e-19,-5.942377910531154,0.0050696033904233054,8.955200192544868e-05
7.494417999017362e-05,-0.033333333830038704,-0.0014759033413914342,5.9635395993322495,0.5019455361244345,-1.3572948112817724e-19,-5.942377910531154,0.0050696033904233054,8.955200192544868e-05
7.494417999017362e-05,0.033333333830038704,0.0014759033413914342,6.546924272130373,-0.5510484769998872,1.337871822092506e-19,-6.52369243611361,0.00556553854200166,8.955200192544868e-05
0.00014283973238586137,-0.033333333830038704,0.0020736296816418567,6.721978027712299,-0.9478845276779162,-2.572754746537273e-19,-6.654810555322799,0.005714351691981218,9.099290005797257e-05
0.00014283973238586137,0.033333333830038704,-0.0020736296816418567,5.746347957785857,0.8103082600662037,2.654470597701111e-19,-5.688929194111855,0.004884968835053121,9.099290005797257e-05
0.00018561025838910913,-0.033333333830038704,-0.002373908607599636,5.746347957785857,0.8103082600662037,2.654470597701111e-19,-5.688929194111855,0.004884968835053121,9.099290005797257e-05
0.00018561025838910913,0.033333333830038704,0.002373908607599636,6.721978027712299,-0.9478845276779162,-2.572754746537273e-19,-6.654810555322799,0.005714351691981218,9.099290005797257e-05
0.00028930153348483145,-0.033333333830038704,0.002976303920149803,6.853686397376972,-1.3547540778261018,0.0,-6.718456565477199,0.005826316941188906,9.245922690222986e-05
0.00028930153348483145,0.033333333830038704,-0.002976303920149803,5.488600543475869,1.0849203679173693,0.0,-5.380305169887824,0.004665857828293802,9.245922690222986e-05
0.00035022228257730603,-0.033333333830038704,-0.0032784203067421913,5.488600543475869,1.0849203679173693,0.0,-5.380305169887824,0.004665857828293802,9.245922690222986e-05
0.00035022228257730603,0.033333333830038704,0.0032784203067421913,6.853686397376972,-1.3547540778261018,0.0,-6.718456565477199,0.005826316941188906,9.245922690222986e-05
0.0004905131451475123,-0.033333333830038704,0.0038834870792925358,6.978479599771216,-1.7686047757236656,0.0,-6.750645500373315,0.005932403608581956,9.395248733783485e-05
0.0004905131451475123,0.033333333830038704,-0.0038834870792925358,5.209374830529407,1.3202482105286977,0.0,-5.039298640440856,0.004428488125708906,9.395248733783485e-05
0.0005698832586252441,-0.033333333830038704,-0.004186437465250492,5.209374830529407,1.3202482105286977,0.0,-5.039298640440856,0.004428488125708906,9.395248733783485e-05
