x/c,y/c,z/c,p_kinematic_m2_s2,p_physical_Pa,Cp,surface_area_m2
8.231375735097876e-06,-0.033333333830038704,0.0002936695042687158,97081.8359375,118925.24902343751,101.09832182948247,8.813545385968984e-05
8.231375735097876e-06,0.033333333830038704,-0.0002936695042687158,97380.4921875,119291.1029296875,101.40933413561896,8.813545385968984e-05
1.646275147019575e-05,-0.033333333830038704,-0.0005873390085374316,97380.4921875,119291.1029296875,101.40933413561896,8.813545385968984e-05
1.646275147019575e-05,0.033333333830038704,0.0005873390085374316,97081.8359375,118925.24902343751,101.09832182948247,8.813545385968984e-05
4.9819153597733625e-05,-0.033333333830038704,0.0011784559270987909,96784.1171875,118560.54355468751,100.78828580975218,8.955200192544868e-05
4.9819153597733625e-05,0.033333333830038704,-0.0011784559270987909,97689.21875,119669.29296875001,101.7308333849021,8.955200192544868e-05
7.494417999017362e-05,-0.033333333830038704,-0.0014759033413914342,97689.21875,119669.29296875001,101.7308333849021,8.955200192544868e-05
7.494417999017362e-05,0.033333333830038704,0.0014759033413914342,96784.1171875,118560.54355468751,100.78828580975218,8.955200192544868e-05
0.00014283973238586137,-0.033333333830038704,0.0020736296816418567,96498.171875,118210.26054687501,100.49051032013982,9.099290005797257e-05
0.00014283973238586137,0.033333333830038704,-0.0020736296816418567,98013.59375,120066.65234375001,102.0686284814488,9.099290005797257e-05
0.00018561025838910913,-0.033333333830038704,-0.002373908607599636,98013.59375,120066.65234375001,102.0686284814488,9.099290005797257e-05
0.00018561025838910913,0.033333333830038704,0.002373908607599636,96498.171875,118210.26054687501,100.49051032013982,9.099290005797257e-05
0.00028930153348483145,-0.033333333830038704,0.002976303920149803,96223.03125,117873.21328125,100.20398653135895,9.245922690222986e-05
0.00028930153348483145,0.033333333830038704,-0.002976303920149803,98337.203125,120463.07382812501,102.40562627743043,9.245922690222986e-05
0.00035022228257730603,-0.033333333830038704,-0.0032784203067421913,98337.203125,120463.07382812501,102.40562627743043,9.245922690222986e-05
0.00035022228257730603,0.033333333830038704,0.0032784203067421913,96223.03125,117873.21328125,100.20398653135895,9.245922690222986e-05
0.0004905131451475123,-0.033333333830038704,0.0038834870792925358,95979.09375,117574.38984375,99.94995680846458,9.395248733783485e-05
0.0004905131451475123,0.033333333830038704,-0.0038834870792925358,98653.828125,120850.93945312501,102.73535073968583,9.395248733783485e-05
0.0005698832586252441,-0.033333333830038704,-0.004186437465250492,98653.828125,120850.93945312501,102.73535073968583,9.395248733783485e-05
0.0005698832586252441,0.033333333830038704,0.004186437465250492,95979.09375,117574.38984375,99.94995680846458,9.395248733783485e-05
