x/c,z/c,Cf
0.0007384010068409796,-0.004135013551493918,0.0043650680757151795
0.0007384010068409796,0.004135013551493918,0.005907721657965029
0.0029552452969733704,-0.009418951617720548,0.002920122639951363
0.0029552452969733704,0.009418951617720548,0.006337520985127905
0.004829370286080921,-0.011980089983232748,0.0022236519568869344
0.004829370286080921,0.011980089983232748,0.006302357824617904
0.006893781531302562,-0.014241058695363868,0.0016390999353468668
0.006893781531302562,0.014241058695363868,0.006144232030790245
0.008987119085763655,-0.016175937096467606,0.0011920704154080703
0.008987119085763655,0.016175937096467606,0.0059317165258446405
0.011091910815363358,-0.01788795623179252,0.0008084899157540169
0.011091910815363358,0.01788795623179252,0.005682158769050379
0.013097419835398787,-0.019352952390128065,0.0005091813568739151
0.013097419835398787,0.019352952390128065,0.0054211835855853
0.0152297855560648,-0.02077701680368221,0.00023069059676110494
0.0152297855560648,0.02077701680368221,0.005113554624275303
0.017225698189569483,-0.02201092500908996,3.7898388301082384e-05
0.017225698189569483,0.02201092500908996,0.004783662637489538
0.01891965766598278,-0.02299322737694101,0.00011171822403895563
0.01891965766598278,0.02299322737694101,0.0045069938280773575
0.0210926279158057,-0.024179069844912065,0.00032353303098411635
0.0210926279158057,0.024179069844912065,0.004071222000755964
0.022987461648881435,-0.025158817879855633,0.00046112283705740837
0.022987461648881435,0.025158817879855633,0.003705240233837708
0.02496611021030106,-0.02612571811400837,0.000582294953039428
0.02496611021030106,0.02612571811400837,0.00343556493467246
0.026992930099368095,-0.027073926292359825,0.0006957094275520612
0.026992930099368095,0.027073926292359825,0.003118298785059847
0.028785793642352623,-0.0278731081537661,0.0007882120950101272
0.028785793642352623,0.0278731081537661,0.0026353620477676185
0.03086369660829408,-0.028762803904574447,0.0008741140319845154
0.03086369660829408,0.028762803904574447,0.0020317773206032174
0.03274715319275856,-0.029538274742662907,0.0009536491724614934
0.03274715319275856,0.029538274742662907,0.001499447980071501
0.034692878110345805,-0.03030729959896441,0.001026600798934492
0.034692878110345805,0.03030729959896441,0.0011005223520128308
0.03694447561109403,-0.031164409710730208,0.0010945818907980894
0.03694447561109403,0.031164409710730208,0.0007950715606372073
0.03898260369896889,-0.03191220201551914,0.0011580437035327569
0.03898260369896889,0.03191220201551914,0.0005631981434639501
0.040618302300572395,-0.03249272517859936,0.0012022436545216229
0.040618302300572395,0.03249272517859936,0.00045697088577544313
0.04276122417039962,-0.03322873374944968,0.0012577193453750671
0.04276122417039962,0.03322873374944968,0.0003591788059400081
0.044850980678038124,-0.03392405584774157,0.0013030812277687169
0.044850980678038124,0.03392405584774157,0.0005132928014864695
0.046991657224058035,-0.034612410328777626,0.001345435504564312
0.046991657224058035,0.034612410328777626,0.00079507422904446
0.049272313714027405,-0.03532339073717594,0.001390639976265756
0.049272313714027405,0.03532339073717594,0.0011521462190016518
0.051100585609674454,-0.03587573394179344,0.0014224702443849926
0.051100585609674454,0.03587573394179344,0.0013933356304361424
0.05296221002936363,-0.036423636600375175,0.0014521260417263543
0.05296221002936363,0.036423636600375175,0.0016019245871976592
0.05485759489238263,-0.03696712106466293,0.0014802578809694244
0.05485759489238263,0.03696712106466293,0.0018056022551798327
0.05678713694214821,-0.03750626556575298,0.0015065542543633752
0.05678713694214821,0.03750626556575298,0.001989527272063466
0.058751270174980164,-0.03804108873009681,0.0015311458503924032
0.058751270174980164,0.03804108873009681,0.002148854241551775
0.06075043603777886,-0.038571609184145934,0.0015541890263613143
0.06075043603777886,0.038571609184145934,0.002286221333649196
0.06278508342802526,-0.03909785486757755,0.0015758450864510009
0.06278508342802526,0.03909785486757755,0.002406048013249045
0.0648556798696518,-0.039619822055101395,0.0015965609559227764
0.0648556798696518,0.039619822055101395,0.0025119380295058093
0.06696270406246185,-0.04013749025762082,0.0016160777452454858
0.06696270406246185,0.04013749025762082,0.0026066508690395047
0.06910663470625877,-0.04065093398094177,0.0016337167789396351
0.06910663470625877,0.04065093398094177,0.0026928801983435837
0.07128798216581346,-0.0411601010710001,0.0016508656709396368
0.07128798216581346,0.0411601010710001,0.0027707926928543514
0.07350726053118704,-0.0416649468243122,0.0016665421336399342
0.07350726053118704,0.0416649468243122,0.0028431853290283777
0.07538547615210216,-0.042082431415716805,0.0016823090815049637
0.07538547615210216,0.042082431415716805,0.002908872338587472
0.07691618568885943,-0.042415287262505076,0.0016971547808095635
0.07691618568885943,0.042415287262505076,0.0029405676286090544
0.07844777901967366,-0.04274405290683111,0.001711765642085743
0.07844777901967366,0.04274405290683111,0.002971761543837428
0.08039799332618713,-0.043153516948223114,0.0018023325754965038
0.08039799332618713,0.043153516948223114,0.00303114020846949
0.08277437835931778,-0.04364086873829365,0.001888564948360982
0.08277437835931778,0.04364086873829365,0.003085384678459488
0.08519143983721733,-0.04412377066910267,0.0019483769815415173
0.08519143983721733,0.04412377066910267,0.003134030430341543
0.08723657826582591,-0.044522798309723534,0.002001666244321339
0.08723657826582591,0.044522798309723534,0.003178598644356493
0.08890298721908989,-0.044840681660629704,0.0020203031091583167
0.08890298721908989,0.044840681660629704,0.003198997157828533
0.09057016173998515,-0.04515452558795611,0.002038645154888002
0.09057016173998515,0.04515452558795611,0.0032190729844331985
0.09269260987639427,-0.045545078814029694,0.002067238520587201
0.09269260987639427,0.045545078814029694,0.0032553066374670157
0.09527835994958878,-0.04600950703024864,0.0020910530990754794
0.09527835994958878,0.04600950703024864,0.0032874022704158174
0.09746592243512471,-0.0463929275671641,0.002112153129127978
0.09746592243512471,0.0463929275671641,0.0033155385601630677
0.09834975997606914,-0.04654530187447866,0.002112153129127978
0.09834975997606914,0.04654530187447866,0.0033155385601630677
0.10058169439435005,-0.046923818066716194,0.002131218939055847
0.10058169439435005,0.046923818066716194,0.0033393261578921803
0.10330057144165039,-0.04737360216677189,0.002148489160969407
0.10330057144165039,0.04737360216677189,0.0033603195453039887
0.10560054828723271,-0.04774462183316549,0.002164278268882793
0.10560054828723271,0.04774462183316549,0.0033787811441400336
0.10652974496285121,-0.04789199928442637,0.002164278268882793
0.10652974496285121,0.04789199928442637,0.0033787811441400336
0.1088760942220688,-0.0482578817754984,0.002178485351384058
0.1088760942220688,0.0482578817754984,0.0033938761870198814
0.11125383526086807,-0.04862020288904508,0.0021910254218798107
0.11125383526086807,0.04862020288904508,0.0034061372894010383
0.11221442371606828,-0.04876401896278063,0.0021910254218798107
0.11221442371606828,0.04876401896278063,0.0034061372894010383
0.11463994905352592,-0.04912091232836247,0.002202376586194733
0.11463994905352592,0.04912091232836247,0.003415414037877527
0.1170977974931399,-0.04947419837117195,0.002213063003079671
0.1170977974931399,0.04947419837117195,0.00342271399547507
0.11809070905049641,-0.04961440712213516,0.002213063003079671
0.11809070905049641,0.04961440712213516,0.00342271399547507
0.12059778347611426,-0.049962127581238754,0.0022226673703264516
0.12059778347611426,0.049962127581238754,0.003428079870491095
0.12313817938168843,-0.0503059799472491,0.0022302616163014885
0.12313817938168843,0.0503059799472491,0.0034313038196466224
0.12416441241900125,-0.05044232060511907,0.0022302616163014885
0.12416441241900125,0.05044232060511907,0.0034313038196466224
0.12675554305315018,-0.050780255347490304,0.0022371959207859956
0.12675554305315018,0.050780255347490304,0.0034327648281358854
0.129381000995636,-0.051114206512769066,0.00224342344321485
0.129381000995636,0.051114206512769066,0.0034331021389201423
0.1304415613412857,-0.05124656359354655,0.00224342344321485
0.1304415613412857,0.05124656359354655,0.0034331021389201423
0.13311930000782013,-0.051574384793639176,0.0022481403540629925
0.13311930000782013,0.051574384793639176,0.003431140078995939
0.1363804042339325,-0.05196206457912921,0.0022526665218480612
0.1363804042339325,0.05196206457912921,0.00342811548775006
0.13913838068644205,-0.052280252178510025,0.002256998348309037
0.13913838068644205,0.052280252178510025,0.003423197870162278
0.14025243123372397,-0.05240622411171594,0.002256998348309037
0.14025243123372397,0.05240622411171594,0.003423197870162278
