x_c,tau_w_Pa,tau_x_Pa,tau_z_Pa,Cf
0.000738401006840979,5.13477175995318,1.20613545405847,-4.93725529799689,0.00436506807571518
0.00186835086672176,4.08197839491741,1.78588616304688,-3.66078122148348,0.00347008872261453
0.00400208087292771,2.9572508991077,1.75588804741299,-2.37618323781582,0.00251395818451972
0.00611024506612841,2.1645513828946,1.48037613710628,-1.57826040939068,0.00184008454151904
0.00811170003891688,1.61421548709127,1.18911901489012,-1.09106125551333,0.00137224414626978
0.0101383538605292,1.14090963736567,0.887658770252846,-0.71661299878709,0.00096988697222758
0.0120784980566511,0.770496300738164,0.621584509424792,-0.455219165245721,0.000654998695568013
0.0141480298230214,0.434319900067891,0.360730402383879,-0.241845988337763,0.000369215228848155
0.0160896478506678,0.140864815788238,0.119472624845088,-0.0746230118157467,0.000119749141565417
0.0177402451653934,0.0453359254230252,-0.0143401177282038,0.00803430596093863,3.85400578640044e-05
0.0198603979126075,0.246652338132799,-0.216517114802889,0.118129118503673,0.0002096790855206
0.0220685973312851,0.4754707052896,-0.422997070955099,0.217107003066635,0.000404197517167995
0.0239335421478843,0.606207020502402,-0.544178503697228,0.267101763047802,0.000515336423150691
0.0260106228209651,0.760840801354639,-0.689903378749181,0.320768637383016,0.000646790558169808
0.0280030231971739,0.873706092166525,-0.797963631701575,0.355800639185817,0.00074273731117286
0.0302177692014728,1.00371112624734,-0.924176787210544,0.391543997827135,0.000853254555264271
0.0323386950040474,1.09895981889472,-1.0178086178267,0.414427420781729,0.00093422544296201
0.0342604089528322,1.18683885042878,-1.10505454848854,0.432944455735239,0.00100893138375295
0.0358039177954197,1.24853661116089,-1.16685463559767,0.444177812135342,0.00106138063336036
0.0378275311402452,1.32548592568435,-1.2445096576141,0.456153383099315,0.0011267952246951
0.0401679038241036,1.39709082562344,-1.31732015990619,0.465294096377296,0.00118766653064615
0.0422852672636509,1.4637105130033,-1.38553295376912,0.471960697406251,0.00124429990875731
0.0439838226884603,1.51056841778099,-1.43382429470417,0.475357588256936,0.00128413380085652
0.0457142889499664,1.554792839237,-1.47963646189819,0.477552838504858,0.00132172896950066
0.0479800913264975,1.60969347689447,-1.53685661501645,0.478698243207539,0.00136839998663214
0.0501885468303162,1.6547257982675,-1.58402527925253,0.478482945631472,0.00140668195077586
0.0520335461290888,1.69087968251923,-1.62209251729317,0.477340231320202,0.00143741635793904
0.0539121101955207,1.72486123884648,-1.65805088565563,0.475372183298208,0.00146630406972479
0.0558246271878405,1.7568654752457,-1.69205909256735,0.472734066685812,0.00149351086237786
0.0577715227390353,1.78678809556846,-1.72402088963368,0.469392988139114,0.00151894807377084
0.0597532260131361,1.81479798451316,-1.7540879449877,0.465439051191724,0.00154275927273988
0.0617701911829679,1.84108207648125,-1.78242995827367,0.460970851288762,0.00156510337216878
0.0638228662269501,1.86599939473994,-1.8093946353777,0.45608360315056,0.00158628557763927
0.0659117344367733,1.88965725558709,-1.83508406215494,0.450820991975856,0.00160639711870699
0.068037271558635,1.91150230377406,-1.85893594500516,0.44516037136479,0.00162496758822563
0.0701999627874053,1.93196103717229,-1.88138662806867,0.439121027918332,0.00164235955191964
0.0716546798745791,1.94196706204362,-1.89237672376352,0.436057800549855,0.00165086567093964
0.073507260531187,1.96040779574427,-1.91276261198363,0.429578765551128,0.00166654213363993
0.0757649913430214,1.97895497009154,-1.93319120047122,0.423124752372906,0.00168230908150496
0.0780617184937,2.01360568178537,-1.96931285949805,0.420017503366151,0.00171176564208574
0.0803979933261871,2.12014251557505,-2.07580674811497,0.431312683362383,0.0018023325754965
0.082374947766463,2.22158046460537,-2.17741665119183,0.440768065799653,0.00188856494836098
0.0839859171375981,2.25704025290959,-2.21331021985606,0.442104460492009,0.00191870930474806
0.0855976964036624,2.29193930748103,-2.2486361953196,0.443419722469813,0.00194837698154152
0.0876497626304626,2.35462520306943,-2.31237363506221,0.444058575864655,0.00200166624432134
0.0901499502360821,2.39812470007566,-2.35725713042137,0.440841125793166,0.002038645154888
0.0922652681668599,2.43176000751361,-2.39244134278329,0.435524001042269,0.0020672385205872
0.0939887399868086,2.44587861125589,-2.40735541450669,0.432353404469559,0.00207924074178616
0.0957129349311193,2.45977387189687,-2.4220335595696,0.429232963768098,0.00209105309907548
0.0979078412055969,2.48459452453468,-2.44847413043772,0.42211892154343,0.00211215312912798
0.10058169439435,2.50702225777965,-2.47247620371127,0.414755377402241,0.00213121893905585
0.102843644718329,2.52733778235606,-2.49435864555589,0.406953576547777,0.00214848916096941
0.103757498164972,2.52733778235606,-2.49435864555589,0.406953576547777,0.00214848916096941
0.106065146625042,2.54591102429003,-2.51447996102214,0.398815081484605,0.00216427826888279
0.108403710027536,2.56262327820072,-2.53269483563416,0.390505999349928,0.00217848535138406
0.109348478416602,2.56262327820072,-2.53269483563416,0.390505999349928,0.00217848535138406
0.111734129488468,2.57737457159008,-2.5489652689598,0.381622509708064,0.00219102542187981
0.11415163675944,2.59072731591293,-2.56374972563668,0.372901286824375,0.00220237658619473
0.115128261347612,2.59072731591293,-2.56374972563668,0.372901286824375,0.00220237658619473
0.117594253271818,2.6032980961812,-2.57772480064636,0.363999766089687,0.00221306300307967
0.120093062520027,2.61459602621473,-2.59038300365561,0.355004612181251,0.00222266737032645
0.121102504432201,2.61459602621473,-2.59038300365561,0.355004612181251,0.00222266737032645
0.123651295900345,2.62352938512102,-2.60067805108556,0.345514267715905,0.00223026161630149
0.126233910520871,2.63168643335586,-2.61011777484835,0.336242003518234,0.002237195920786
0.127277175585429,2.63168643335586,-2.61011777484835,0.336242003518234,0.002237195920786
0.129911281168461,2.63901207083676,-2.61869796176699,0.326811405950782,0.00224342344321485
0.132580240567525,2.64456072671042,-2.62545273881273,0.317331614434966,0.00224814035406299
0.133658359448115,2.64456072671042,-2.62545273881273,0.317331614434966,0.00224814035406299
0.136380404233932,2.64988500530596,-2.63195482249627,0.30774072477328,0.00225266652184806
0.139695405960083,2.65498067387172,-2.63816831401368,0.29831246297554,0.00225699834830904
0.14249890546004,2.65829353243826,-2.64256543744158,0.288742815395029,0.00225981460847486
0.143631329139074,2.65829353243826,-2.64256543744158,0.288742815395029,0.00225981460847486
0.146490372717381,2.66120673838349,-2.64650961420033,0.279299420627581,0.00226229112405607
0.149972029030323,2.66359397595687,-2.64989684508351,0.269776906295117,0.00226432051406752
0.152916327118874,2.66475743000537,-2.6520278449279,0.260154704927465,0.00226530956603752
0.154105588793755,2.66475743000537,-2.6520278449279,0.260154704927465,0.00226530956603752
0.156503637631734,2.66480684103046,-2.6529827723447,0.250754680205427,0.0022653515703365
0.157712424794833,2.66480684103046,-2.6529827723447,0.250754680205427,0.0022653515703365
0.160149832566579,2.66482916394238,-2.65388717345468,0.241241255946276,0.00226537054703785
0.161378453175227,2.66482916394238,-2.65388717345468,0.241241255946276,0.00226537054703785
0.163855830828349,2.66396909326105,-2.65386037010763,0.231854406519031,0.00226463940118572
0.165104587872823,2.66396909326105,-2.65386037010763,0.231854406519031,0.00226463940118572
0.168257139623165,2.66239768823544,-2.65308007098083,0.222547943791374,0.00226330355020111
0.172095879912376,2.6605185247561,-2.65196461268343,0.213172497394056,0.00226170607383873
0.175997391343117,2.65762442596739,-2.64979189552823,0.203888449627315,0.00225924580124608
0.179962635040283,2.65438983382662,-2.64723842374854,0.19471547897246,0.0022564960753475
0.183992594480515,2.65123902583794,-2.64472860880833,0.185685104079112,0.0022538175743338
0.188088268041611,2.64676801576117,-2.64086774058042,0.176630988272026,0.00225001676988432
0.192250676453114,2.64193796977,-2.63661482430613,0.167626084967703,0.00224591074910172
0.195770134528478,2.63718895928548,-2.63240666088099,0.158747531403338,0.00224187361658127
0.197191576162974,2.63718895928548,-2.63240666088099,0.158747531403338,0.00224187361658127
0.200057571132978,2.63187991611852,-2.62760423069324,0.149959660279096,0.00223736040042988
0.201502124468486,2.63187991611852,-2.62760423069324,0.149959660279096,0.00223736040042988
0.204414705435435,2.62645051601059,-2.62264220993543,0.141386533012535,0.00223274486887574
0.205882733066877,2.62645051601059,-2.62264220993543,0.141386533012535,0.00223274486887574
0.20884263018767,2.62055491499084,-2.61719109019266,0.132736053500064,0.00222773302005332
0.210334499677022,2.62055491499084,-2.61719109019266,0.132736053500064,0.00222773302005332
0.214100480079651,2.61465223047561,-2.61169811586784,0.124254729903661,0.00222271514955333
0.217915246884028,2.60899511014363,-2.60641656273983,0.115966315061146,0.0022179060330987
0.219455902775129,2.60899511014363,-2.60641656273983,0.115966315061146,0.0022179060330987
0.222562178969383,2.603102066524,-2.60087474476291,0.107661185187528,0.00221289635832143
0.224127799272537,2.603102066524,-2.60087474476291,0.107661185187528,0.00221289635832143
0.22807988524437,2.59730446629955,-2.59539738444492,0.0995133532550568,0.00220796781994844
0.232083072264989,2.59107877059421,-2.58946402854777,0.091461687504645,0.00220267535772364
0.233699793616931,2.59107877059421,-2.58946402854777,0.091461687504645,0.00220267535772364
0.236959382891655,2.58448013386173,-2.58312993614492,0.0835302060209219,0.00219706585843317
0.238602250814438,2.58448013386173,-2.58312993614492,0.0835302060209219,0.00219706585843317
0.241914540529251,2.57823590999964,-2.57712564700401,0.0756558468712399,0.00219175764542736
0.243583962321281,2.57823590999964,-2.57712564700401,0.0756558468712399,0.00219175764542736
0.246949772040049,2.57151240571361,-2.57061498293386,0.0679313054119247,0.0021860419962636
0.248646159966787,2.57151240571361,-2.57061498293386,0.0679313054119247,0.0021860419962636
0.252066324154536,2.56479687785711,-2.56408883410278,0.060261724958797,0.00218033312786041
0.253790100415548,2.56479687785711,-2.56408883410278,0.060261724958797,0.00218033312786041
0.25814126431942,2.55858022843129,-2.55803620266253,0.0527595601516985,0.00217504835587538
0.262548476457596,2.55193134608311,-2.55152968939247,0.0452751506940039,0.00216939614280068
0.264328300952911,2.55193134608311,-2.55152968939247,0.0452751506940039,0.00216939614280068
0.267916649580002,2.54492231446531,-2.54463886201583,0.0379822140249504,0.00216343776692988
0.269725173711777,2.54492231446531,-2.54463886201583,0.0379822140249504,0.00216343776692988
0.273371348778407,2.53788096226329,-2.53769452121053,0.0307619186091741,0.00215745191533924
0.275208999713262,2.53788096226329,-2.53769452121053,0.0307619186091741,0.00215745191533924
0.278913885354996,2.53102886186716,-2.53091863649177,0.0236210724405235,0.00215162694665728
0.280781120061874,2.53102886186716,-2.53091863649177,0.0236210724405235,0.00215162694665728
0.284545640150706,2.52314475155506,-2.52309037658827,0.0165646873658658,0.00214492466662661
0.286442925532659,2.52314475155506,-2.52309037658827,0.0165646873658658,0.00214492466662661
0.29026801387469,2.51538099192674,-2.51536250574219,0.00964361201630529,0.00213832469667947
0.292195816834768,2.51538099192674,-2.51536250574219,0.00964361201630529,0.00213832469667947
0.296082417170207,2.50734215339088,-2.50734055347446,0.00283250299619349,0.0021314908822279
0.298041214545568,2.50734215339088,-2.50734055347446,0.00283250299619349,0.0021314908822279
0.302197098731995,2.50445108451951,-2.50444930027972,-0.00298949483769587,0.00212903318536714
0.305858910083771,2.5057601666371,-2.50574759134015,-0.0079385891837224,0.00213014603571904
0.307323634624481,2.5057601666371,-2.50574759134015,-0.0079385891837224,0.00213014603571904
0.310253063837687,2.50705430820673,-2.50702202502121,-0.0127228281644451,0.00213124618511519
0.311717768510183,2.50705430820673,-2.50702202502121,-0.0127228281644451,0.00213124618511519
0.314647167921066,2.50814677874838,-2.50808603925318,-0.0174551840195649,0.00213217489402532
0.316111862659454,2.50814677874838,-2.50808603925318,-0.0174551840195649,0.00213217489402532
0.319041232268016,2.50969445067006,-2.50959720052841,-0.0220935923757342,0.00213349056950475
0.320505907138189,2.50969445067006,-2.50959720052841,-0.0220935923757342,0.00213349056950475
0.324167549610138,2.51041519838242,-2.51027357838772,-0.026665144252099,0.00213410327693888
0.327829132477442,2.51116274688577,-2.5109694298469,-0.0311586861279693,0.00213473876771813
0.329293747742971,2.51116274688577,-2.5109694298469,-0.0311586861279693,0.00213473876771813
0.332222948471705,2.5119613403785,-2.51170936225062,-0.0355788580301848,0.00213541765182896
0.333687533934911,2.5119613403785,-2.51170936225062,-0.0355788580301848,0.00213541765182896
0.336616665124893,2.51288364633346,-2.512566153098,-0.0399442901613246,0.00213620170387028
0.338081210851669,2.51288364633346,-2.512566153098,-0.0399442901613246,0.00213620170387028
0.341010262568792,2.5131226618111,-2.51273456934372,-0.044164435165652,0.00213640489086276
0.342474768559138,2.5131226618111,-2.51273456934372,-0.044164435165652,0.00213640489086276
0.346135959029198,2.51315788134182,-2.51269241961525,-0.0483667340076838,0.00213643483097624
0.349797050158183,2.51266187530009,-2.51211417950236,-0.0524599726435132,0.00213601317637516
0.351261456807454,2.51266187530009,-2.51211417950236,-0.0524599726435132,0.00213601317637516
0.35419022043546,2.51166103537839,-2.51102562068579,-0.0564932641787828,0.0021351623626301
0.355654577414195,2.51166103537839,-2.51102562068579,-0.0564932641787828,0.0021351623626301
0.358583241701126,2.51067024001487,-2.50994324491399,-0.0604149104690223,0.00213432008776122
0.360047549009323,2.51067024001487,-2.50994324491399,-0.0604149104690223,0.00213432008776122
0.362976104021072,2.50979481145286,-2.50897039272029,-0.0643238995141718,0.00213357588617889
0.364440351724625,2.50979481145286,-2.50897039272029,-0.0643238995141718,0.00213357588617889
0.368100896477699,2.50839121893389,-2.50746696419348,-0.0680876692433279,0.0021323826925605
0.371761312087377,2.50728223098689,-2.50625318892343,-0.0718271455212877,0.00213143994220857
0.373225430647532,2.50728223098689,-2.50625318892343,-0.0718271455212877,0.00213143994220857
0.376153618097305,2.50591574591985,-2.50477650351074,-0.0755539086319327,0.00213027829362496
0.377617686986923,2.50591574591985,-2.50477650351074,-0.0755539086319327,0.00213027829362496
0.380545755227407,2.50462233238974,-2.50337245118987,-0.0791163606911593,0.00212917876313502
0.382009754578273,2.50462233238974,-2.50337245118987,-0.0791163606911593,0.00212917876313502
0.384937683741252,2.50272657267051,-2.50136103722854,-0.08266352875399,0.00212756717831363
0.386401613553365,2.50272657267051,-2.50136103722854,-0.08266352875399,0.00212756717831363
0.39006133377552,2.50082119106924,-2.49933892796258,-0.0860903761857671,0.00212594741393294
0.394452810287476,2.49890108104967,-2.49729801719618,-0.0894942801479772,0.00212431512892785
0.398112207651138,2.49704012997856,-2.49531196481053,-0.0928849234094755,0.00212273313492876
0.399575918912888,2.49704012997856,-2.49531196481053,-0.0928849234094755,0.00212273313492876
0.402503271897634,2.49529860133385,-2.49344653989175,-0.0961221229507595,0.00212125266190185
0.403966913620631,2.49529860133385,-2.49344653989175,-0.0961221229507595,0.00212125266190185
0.406894127527873,2.4930221814704,-2.4910401820792,-0.0993901834702642,0.00211931747799546
0.408357699712117,2.4930221814704,-2.4910401820792,-0.0993901834702642,0.00211931747799546
0.412016496062279,2.49122922465543,-2.48911871539286,-0.102523511734158,0.002117793285895
0.416406840085983,2.48895056391507,-2.48670738913443,-0.105646913998166,0.00211585619701975
0.420065293709437,2.48709966070918,-2.48472361343615,-0.108688946689675,0.00211428274470814
0.421528627475103,2.48709966070918,-2.48472361343615,-0.108688946689675,0.00211428274470814
0.424455205599467,2.48480666629389,-2.48229576811668,-0.111677609432548,0.00211233347077974
0.425918449958165,2.48480666629389,-2.48229576811668,-0.111677609432548,0.00211233347077974
0.428844859202703,2.48247263546495,-2.47982376604287,-0.114649357613835,0.00211034931180726
0.430308024088542,2.48247263546495,-2.47982376604287,-0.114649357613835,0.00211034931180726
0.43323427438736,2.48028395180279,-2.47749937216455,-0.117496138212008,0.00210848871242171
0.434697359800339,2.48028395180279,-2.47749937216455,-0.117496138212008,0.00210848871242171
0.438354954123497,2.47782861436683,-2.47490344291691,-0.120364406753278,0.00210640143073561
0.442012379566828,2.47563538977238,-2.47257053957334,-0.123148324907312,0.00210453697110476
0.443475296099981,2.47563538977238,-2.47257053957334,-0.123148324907312,0.00210453697110476
0.446401039759318,2.47298741926839,-2.46978046209417,-0.125901727222603,0.00210228593209996
0.447863866885503,2.47298741926839,-2.46978046209417,-0.125901727222603,0.00210228593209996
0.450789441665014,2.47074211339295,-2.46739417519826,-0.128579061635833,0.00210037719818631
0.452252189318339,2.47074211339295,-2.46739417519826,-0.128579061635833,0.00210037719818631
0.455177595218023,2.46829235145803,-2.46480333654655,-0.131193156891645,0.00209829465623212
0.456640253464381,2.46829235145803,-2.46480333654655,-0.131193156891645,0.00209829465623212
0.460296764969826,2.46620726898991,-2.46257308687667,-0.13383603927706,0.00209652212819343
0.463953097661336,2.46346770881456,-2.45968942466368,-0.136385800469573,0.00209419322883394
0.46541557709376,2.46346770881456,-2.45968942466368,-0.136385800469573,0.00209419322883394
0.468340456485748,2.46102707551278,-2.45710340213235,-0.138914137641273,0.0020921184471283
0.469802856445312,2.46102707551278,-2.45710340213235,-0.138914137641273,0.0020921184471283
0.472727557023366,2.4585962358112,-2.45452996527434,-0.141343907952771,0.00209005199095954
0.474189857641856,2.4585962358112,-2.45452996527434,-0.141343907952771,0.00209005199095954
0.477114379405975,2.45623006531961,-2.45201904979674,-0.143766175485944,0.00208804051006859
0.478576600551605,2.45623006531961,-2.45201904979674,-0.143766175485944,0.00208804051006859
0.482232019305229,2.45383576601299,-2.44947650498662,-0.146201293028029,0.00208600511687964
0.485887249310811,2.45120147083078,-2.44669948047695,-0.148493443750248,0.00208376570326217
0.487349281708399,2.45120147083078,-2.44669948047695,-0.148493443750248,0.00208376570326217
0.490273267030716,2.44862811108481,-2.44397769454297,-0.150839832176958,0.00208157809084245
0.491735219955444,2.44862811108481,-2.44397769454297,-0.150839832176958,0.00208157809084245
0.494659026463826,2.44607312017752,-2.44127926183341,-0.153066243819823,0.0020794060937675
0.49612088004748,2.44607312017752,-2.44127926183341,-0.153066243819823,0.0020794060937675
0.499044497807821,2.44347864337408,-2.43854026087077,-0.155271622447746,0.00207720052974298
0.500506261984507,2.44347864337408,-2.43854026087077,-0.155271622447746,0.00207720052974298
0.504160553216934,2.44125283292723,-2.4361605844451,-0.157597592213029,0.00207530836888786
0.508545458316803,2.4384659960208,-2.43323442017269,-0.159645451662698,0.00207293927959214
0.512199322382609,2.43563069216527,-2.43025079990237,-0.161795915249281,0.00207052898855618
0.513660808404287,2.43563069216527,-2.43025079990237,-0.161795915249281,0.00207052898855618
